BRANCH1,SUBJECT,YEAR,UNIT,QUESTION,OPTION A,OPTION B,OPTION C,OPTION D,ANSWER,BRANCH
IT,FUNDAMENTALS OF ELECTRICAL ENGINEERING,1,4,The slip in an induction motor is defined as:,The ratio of synchronous speed to rotor speed.,"The difference between synchronous speed and rotor speed, divided by synchronous speed.",The ratio of rotor speed to synchronous speed,The power loss in the motor,"The difference between synchronous speed and rotor speed, divided by synchronous speed.",IT-1
IT,FUNDAMENTALS OF ELECTRICAL ENGINEERING,1,4,Which type of motor is commonly used in household appliances like fans?,Three-phase induction motor,DC series motor,Single-phase induction motor,Synchronous motor,Single-phase induction motor,IT-1
IT,FUNDAMENTALS OF ELECTRICAL ENGINEERING,1,4,The synchronous speed of a three-phase motor is determined by:,The supply voltage.,The number of poles and supply frequency.,The power factor.,The motor’s torque.,The number of poles and supply frequency,IT-1
IT,FUNDAMENTALS OF ELECTRICAL ENGINEERING,1,5,What does SFU stand for in electrical installations?,Switch Fuse Unit,Safety Fuse Unit,Synchronous Fuse Unit,Small Fuse Unit,Switch Fuse Unit,IT-1
IT,FUNDAMENTALS OF ELECTRICAL ENGINEERING,1,5,Which of the following is used to prevent electric shock by breaking the circuit when leakage current is detected?,MCB,SFU,ELCB,ACB,ELCB,IT-1
IT,FUNDAMENTALS OF ELECTRICAL ENGINEERING,1,5,Which type of cable is typically used for high-voltage transmission?,Coaxial cable,Twisted pair cable,High-tension (HT) cable,Ribbon cable,High-tension (HT) cable,IT-1
CSE,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,1,What does Varignon's Theorem help to determine?,Moment of force about an axis,Resultant force direction,Moment of a force about a point,Stability of a system,Moment of a force about a point,CSE-1
CSE,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,1,Which of the following is an example of a non-concurrent coplanar force system?,Moment of force about an axis,Parallel forces acting at different points in the same plane,All forces meeting at the same point,Forces acting in different planes,Parallel forces acting at different points in the same plane,CSE-1
CSE,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,1,What type of load varies linearly along the span of the beam?,Point Load,Uniformly Distributed Load (UDL),Uniformly Varying Load (UVL),Axial Load,Uniformly Varying Load (UVL),CSE-1
CSE,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,2,What is the primary difference between SI and CI engines?,Type of fuel used,Compression ratio,Type of ignition system,All of the above,All of the above,CSE-1
CSE,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,2,Which component stores energy in an electric vehicle (EV)?,Motor,Battery,Transmission,Controller,Battery,CSE-1
CSE,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,2,In a two-stroke IC engine how many power strokes occur in one revolution of the crankshaft?,One,Two,Four,Zero,One,CSE-1
CSE,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,3,What is the unit of refrigerating effect?,Kelvin,Joule,Ton of Refrigeration,Watt,Ton of Refrigeration,CSE-1
CSE,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,3,Which device is used to measure humidity in air conditioning systems?,Pyrometer,Hygrometer,Manometer,Anemometer,Hygrometer,CSE-1
CSE,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,3,The coefficient of performance (COP) for a heat pump is defined as:,Ratio of heat supplied to work input,Ratio of work input to heat supplied,Efficiency of heat transfer,None of the above,Ratio of heat supplied to work input,CSE-1
CSE,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,4,Which fluid property determines the resistance to flow?,Density,Viscosity,Specific Gravity,Pressure,Viscosity,CSE-1
CSE,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,4,Which hydraulic turbine is best suited for high head and low flow conditions?,Pelton Wheel,Francis Turbine,Kaplan Turbine,Axial Flow Turbine,Pelton Wheel,CSE-1
CSE,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,4,What is Pascal’s Law?,The sum of pressures in a fluid is constant.,Pressure applied to a confined fluid is transmitted equally in all directions.,The pressure in a moving fluid decreases with velocity.,Fluid resistance increases with pressure.,Pressure applied to a confined fluid is transmitted equally in all directions.,CSE-1
CSE,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,5,Which of the following is NOT a characteristic of a good measurement system?,Accuracy,Resolution,Complexity,Precision,Complexity,CSE-1
CSE,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,5,What type of pressure gauge uses a coiled tube for measurement?,U-Tube Manometer,Bourdon Tube Pressure Gauge,Digital Pressure Sensor,Diaphragm Pressure Gauge,Bourdon Tube Pressure Gauge,CSE-1
CSE,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,5,In mechatronics what is a transducer?,A device that measures pressure,A device that converts one form of energy to another,A component used to amplify signals,A machine that regulates temperature,A device that converts one form of energy to another,CSE-1
IT,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,1,What does Varignon's Theorem help to determine?,Moment of force about an axis,Resultant force direction,Moment of a force about a point,Stability of a system,Moment of a force about a point,IT-1
IT,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,1,Which of the following is an example of a non-concurrent coplanar force system?,Moment of force about an axis,Parallel forces acting at different points in the same plane,All forces meeting at the same point,Forces acting in different planes,Parallel forces acting at different points in the same plane,IT-1
IT,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,1,What type of load varies linearly along the span of the beam?,Point Load,Uniformly Distributed Load (UDL),Uniformly Varying Load (UVL),Axial Load,Uniformly Varying Load (UVL),IT-1
IT,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,2,What is the primary difference between SI and CI engines?,Type of fuel used,Compression ratio,Type of ignition system,All of the above,All of the above,IT-1
IT,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,2,Which component stores energy in an electric vehicle (EV)?,Motor,Battery,Transmission,Controller,Battery,IT-1
IT,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,2,In a two-stroke IC engine how many power strokes occur in one revolution of the crankshaft?,One,Two,Four,Zero,One,IT-1
IT,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,3,What is the unit of refrigerating effect?,Kelvin,Joule,Ton of Refrigeration,Watt,Ton of Refrigeration,IT-1
IT,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,3,Which device is used to measure humidity in air conditioning systems?,Pyrometer,Hygrometer,Manometer,Anemometer,Hygrometer,IT-1
IT,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,3,The coefficient of performance (COP) for a heat pump is defined as:,Ratio of heat supplied to work input,Ratio of work input to heat supplied,Efficiency of heat transfer,None of the above,Ratio of heat supplied to work input,IT-1
IT,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,4,Which fluid property determines the resistance to flow?,Density,Viscosity,Specific Gravity,Pressure,Viscosity,IT-1
IT,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,4,Which hydraulic turbine is best suited for high head and low flow conditions?,Pelton Wheel,Francis Turbine,Kaplan Turbine,Axial Flow Turbine,Pelton Wheel,IT-1
IT,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,4,What is Pascal’s Law?,The sum of pressures in a fluid is constant.,Pressure applied to a confined fluid is transmitted equally in all directions.,The pressure in a moving fluid decreases with velocity.,Fluid resistance increases with pressure.,Pressure applied to a confined fluid is transmitted equally in all directions.,IT-1
IT,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,5,Which of the following is NOT a characteristic of a good measurement system?,Accuracy,Resolution,Complexity,Precision,Complexity,IT-1
IT,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,5,What type of pressure gauge uses a coiled tube for measurement?,U-Tube Manometer,Bourdon Tube Pressure Gauge,Digital Pressure Sensor,Diaphragm Pressure Gauge,Bourdon Tube Pressure Gauge,IT-1
IT,FUNDAMENTALS OF MECHANICAL ENGINEERING,1,5,In mechatronics what is a transducer?,A device that measures pressure,A device that converts one form of energy to another,A component used to amplify signals,A machine that regulates temperature,A device that converts one form of energy to another,IT-1
CSE,SOFT SKILLS,1,1,"Identify the type of sentence: ""Although it was late she continued to work on her project.""",Simple,Compound,Complex,Compound-Complex,Complex,CSE-1
CSE,SOFT SKILLS,1,1,"Choose the correct verb to complete the sentence: ""Neither the students nor the teacher _____ present today.""",are,is,were,be,is,CSE-1
CSE,SOFT SKILLS,1,1,"What is the meaning of the prefix ""un-"" in the word ""unhappy""?",Not,Before,After,Again,Not,CSE-1
CSE,SOFT SKILLS,1,2,Active listening primarily involves:,Hearing the words spoken,Understanding and responding to the speaker,Preparing your response while the speaker is talking,Nodding occasionally,Understanding and responding to the speaker,CSE-1
CSE,SOFT SKILLS,1,2,Which of the following is NOT a trait of a good listener?,Interrupting frequently,Maintaining eye contact,Providing feedback,Showing empathy,Interrupting frequently,CSE-1
CSE,SOFT SKILLS,1,2,Which listening mode is focused on understanding the main ideas without getting bogged down by details?,Comprehensive listening,Discriminative listening,Selective listening,Skimming,Selective listening,CSE-1
CSE,SOFT SKILLS,1,3,Skimming is best used when you want to:,Understand every detail,Get the general idea quickly,Analyze the author's arguments,Memorize the text,Get the general idea quickly,CSE-1
CSE,SOFT SKILLS,1,3,Scanning is most effective when you are looking for:,The main theme,Specific information or keywords,The author's purpose,The overall structure,Specific information or keywords,CSE-1
CSE,SOFT SKILLS,1,3,Churning and assimilation in reading refer to:,Speed reading techniques,Memorizing passages,Processing and integrating information,Skipping difficult sections,Processing and integrating information,CSE-1
CSE,SOFT SKILLS,1,4,Oral communication primarily involves:,Written messages,Spoken words and non-verbal cues,Sign language only,Printed materials,Spoken words and non-verbal cues,CSE-1
CSE,SOFT SKILLS,1,4,Which mode of speech delivery is most suitable for informing the audience?,Impromptu,Manuscript,Extemporaneous,Memorized,Extemporaneous,CSE-1
CSE,SOFT SKILLS,1,4,To enhance clarity in public speaking a speaker should:,Speak as quickly as possible,Use complex jargon,Articulate words clearly and at a moderate pace,Avoid pauses,Articulate words clearly and at a moderate pace,CSE-1
CSE,SOFT SKILLS,1,5,"Identify the type of sentence: ""Although it was late she continued to work on her project.""",Simple,Compound,Empathy,Avoiding responsibility,Empathy,CSE-1
CSE,SOFT SKILLS,1,5,"Choose the correct verb to complete the sentence: ""Neither the students nor the teacher _____ present today.""",are,is,Reducing communication,Ignoring team dynamics,Increasing organizational efficiency,CSE-1
CSE,SOFT SKILLS,1,5,"What is the meaning of the prefix ""un-"" in the word ""unhappy""?",Not,Before,Avoid making decisions,Reduce team input,Understand team needs and concerns,CSE-1
IT,SOFT SKILLS,1,1,"Identify the type of sentence: ""Although it was late she continued to work on her project.""",Simple,Compound,Complex,Compound-Complex,Complex,IT-1
IT,SOFT SKILLS,1,1,"Choose the correct verb to complete the sentence: ""Neither the students nor the teacher _____ present today.""",are,is,were,be,is,IT-1
IT,SOFT SKILLS,1,1,"What is the meaning of the prefix ""un-"" in the word ""unhappy""?",Not,Before,After,Again,Not,IT-1
IT,SOFT SKILLS,1,2,Active listening primarily involves:,Hearing the words spoken,Understanding and responding to the speaker,Preparing your response while the speaker is talking,Nodding occasionally,Understanding and responding to the speaker,IT-1
IT,SOFT SKILLS,1,2,Which of the following is NOT a trait of a good listener?,Interrupting frequently,Maintaining eye contact,Providing feedback,Showing empathy,Interrupting frequently,IT-1
